Strain,Stress
0,1.908571429
0,2.635961384
3.12E-05,3.324194598
0,4.126209673
0,4.664275045
0,5.508943571
0.000124992,6.489882827
9.37E-05,7.030623884
9.37E-05,7.32
9.37E-05,7.490035667
0.000187482,7.497966667
0.000187482,7.520279812
0.000187482,7.48061873
0.00028121,7.634451664
0.00028121,7.607111049
0.00028121,7.760830159
0.00028121,7.970460486
0.00028121,8.52157816
0.00037493,9.257253814
0.00037493,10.22397618
0.000343691,11.23138619
0.00028121,12.29839438
0.00028121,13.35414844
0.00028121,14.44714146
0.00028121,15.37500253
0.00028121,16.40821984
0.00028121,17.15915332
0.00037493,17.90553182
0.00037493,18.58951734
0.00037493,19.19753592
0.00037493,19.78385659
0.00037493,20.33024238
0.00037493,20.84973944
0.00037493,21.32293872
0.00046864,21.75703292
0.00046864,22.20275607
0.00046864,22.68297106
0.00046864,23.11141818
0.00046864,23.55740802
0.00046864,23.99654638
0.00046864,24.34771714
0.00046864,24.83434635
0.00046864,25.1354507
0.00046864,25.46785516
0.00046864,25.72244549
0.00046864,26.26911
0.00046864,26.65067624
0.000499875,27.06181597
0.00046864,27.42143725
0.00046864,27.85336935
0.00046864,28.17015
0.00046864,28.59914496
0.00046864,28.94652804
0.00046864,29.37080762
0.00046864,29.62621022
0.00046864,30.00372099
0.00046864,30.3304633
0.00046864,30.70467699
0.00046864,31.01957093
0.00046864,31.37158142
0.00046864,31.65331095
0.00046864,32.00687644
0.00046864,32.29534465
0.00046864,32.6138149
0.00046864,32.87481927
0.00046864,33.15355083
0.00046864,33.46852319
0.00046864,33.79665656
0.00046864,34.05317723
0.00046864,34.33054851
0.00046864,34.62161905
0.000499875,34.97780464
0.000499875,35.19145099
0.00046864,35.50496753
0.000499875,35.68936523
0.00046864,36.01060873
0.00046864,36.30048407
0.000499875,36.60288886
0.000499875,36.85663986
0.00046864,37.14758473
0.00046864,37.33088
0.00046864,37.63902033
0.000499875,37.83599664
0.00046864,38.16062688
0.00046864,38.41835735
0.00046864,38.6604473
0.000531109,38.95933501
0.000593574,39.17438043
0.000593574,39.42012889
0.000687264,39.67900166
0.000687264,39.92500889
0.000687264,40.15744639
0.000687264,40.39833628
0.000687264,40.63005855
0.000562342,40.84868527
0.000624805,41.14697964
0.000593574,41.34967481
0.000687264,41.64247746
0.000687264,41.84942221
0.000687264,42.15001848
0.000687264,42.36466219
0.000687264,42.60719737
0.000687264,42.87428167
0.000687264,43.14077336
0.000687264,43.34348373
0.000687264,43.68126845
0.000687264,43.86193431
0.000687264,44.13479801
0.000687264,44.36575613
0.000687264,44.65171263
0.000687264,44.86906262
0.000687264,45.12503382
0.000656035,45.28418637
0.000687264,45.60228328
0.000687264,45.79714696
0.000687264,46.05921444
0.000687264,46.23400921
0.000687264,46.56452304
0.000687264,46.76782168
0.000687264,47.06383209
0.000687264,47.27806984
0.000687264,47.51828351
0.000687264,47.79083447
0.000718492,47.90280315
0.000780945,48.29655458
0.00081217,48.56858036
0.000780945,48.78073953
0.000780945,49.06229821
0.000780945,49.30235201
0.00081217,49.59044299
0.000780945,49.78661849
0.000780945,50.14814063
0.000780945,50.36024345
0.000780945,50.69288793
0.00081217,50.9802057
0.000780945,51.22775968
0.00081217,51.45983291
0.00081217,51.77254746
0.00081217,52.02547813
0.00081217,52.34468047
0.00081217,52.57702667
0.000780945,52.88154813
0.00081217,53.1662323
0.00081217,53.48646915
0.000749719,53.75596346
0.00081217,54.04818612
0.00081217,54.33421559
0.000749719,54.660322
0.00081217,54.9293844
0.00081217,55.21461376
0.000780945,55.47830525
0.00081217,55.77410955
0.00081217,56.0692424
0.00081217,56.36825877
0.00081217,56.63707424
0.000780945,56.92326688
0.00081217,57.25795511
0.00081217,57.54175381
0.00081217,57.80973287
0.00090584,58.12984737
0.00090584,58.40341155
0.00090584,58.72178311
0.00090584,59.01726696
0.00090584,59.34140772
0.000843394,59.58550232
0.00090584,59.89458599
0.00090584,60.21501663
0.00090584,60.50445236
0.00090584,60.80798257
0.00090584,61.09050258
0.00090584,61.3894889
0.00090584,61.64305927
0.00090584,61.98847004
0.00090584,62.21371923
0.0009995,62.57206708
0.0009995,62.84700201
0.0009995,63.19911842
0.0009995,63.44976595
0.0009995,63.75815511
0.001030719,63.9832947
0.0009995,64.31399767
0.001030719,64.53292489
0.00090584,64.96731354
0.00090584,65.17527259
0.00090584,65.49424959
0.00090584,65.69938305
0.00090584,66.00520978
0.00090584,66.27463112
0.00090584,66.60313098
0.00090584,66.85542926
0.00090584,67.15285913
0.00090584,67.39927381
0.00090584,67.69394631
0.00090584,67.97985347
0.0009995,68.27122206
0.0009995,68.51273491
0.0009995,68.86653757
0.0009995,69.05440641
0.0009995,69.40524579
0.0009995,69.65050889
0.0009995,69.94944763
0.0009995,70.21748144
0.0009995,70.54896653
0.0009995,70.74162696
0.0009995,71.11686317
0.0009995,71.32929719
0.0009995,71.66708677
0.0009995,71.92197847
0.001061936,72.26679349
0.001093152,72.57000595
0.001093152,72.84928528
0.001093152,73.13720561
0.001061936,73.46616933
0.001093152,73.7258327
0.001093152,74.09709679
0.001093152,74.31526979
0.001093152,74.66712516
0.001093152,74.95043345
0.001186795,75.25382508
0.001186795,75.53383
0.001186795,75.75787697
0.001186795,76.05632014
0.001186795,76.34921839
0.001186795,76.66975783
0.00128043,76.92843438
0.001218008,77.18034938
0.001155582,77.44635136
0.00128043,77.77425662
0.001186795,78.0688851
0.001155582,78.30760226
0.001186795,78.60352693
0.001186795,78.90315888
0.001155582,79.22865383
0.001186795,79.4919339
0.001186795,79.73235328
0.001186795,80.03699503
0.001155582,80.3359375
0.001186795,80.58722911
0.001186795,80.87830391
0.001186795,81.14269208
0.001186795,81.42253521
0.001155582,81.67003696
0.001249219,81.96278386
0.001249219,82.22924029
0.00128043,82.44101499
0.001249219,82.75644335
0.001249219,82.99295724
0.00128043,83.31141918
0.001249219,83.52258842
0.00128043,83.81700135
0.001249219,84.06370748
0.001249219,84.31232881
0.001249219,84.54135496
0.001249219,84.8039254
0.001249219,85.04143316
0.001249219,85.39418574
0.001249219,85.62993924
0.001249219,85.91792686
0.001249219,86.10849865
0.001249219,86.45065164
0.001249219,86.58815382
0.001249219,86.92496301
0.001249219,87.10698
0.001218008,87.47841147
